#Time  flux(x0) flux(x1) flux(y0) flux(y1)
13.8531  -0.00500001 0.00500001 0 0
13.9531  -0.00500001 0.00500001 0 0
14.0531  -0.00500001 0.00500001 0 0
14.1531  -0.00500001 0.00500001 0 0
14.2531  -0.00500001 0.00500001 0 0
14.3531  -0.00500001 0.00500001 0 0
14.4531  -0.00500001 0.00500001 0 0
14.5531  -0.00500001 0.00500001 0 0
14.653  -0.00500001 0.00500001 0 0
14.753  -0.00500001 0.00500001 0 0
14.853  -0.00500001 0.00500001 0 0
14.953  -0.00500001 0.00500001 0 0
15.053  -0.00500001 0.00500001 0 0
15.153  -0.00500001 0.00500001 0 0
15.253  -0.00500001 0.00500001 0 0
15.353  -0.00500001 0.00500001 0 0
15.453  -0.00500001 0.00500001 0 0
15.5529  -0.00500001 0.00500001 0 0
15.6529  -0.00500001 0.00500001 0 0
15.7529  -0.00500001 0.00500001 0 0
15.8529  -0.00500001 0.00500001 0 0
15.9529  -0.00500001 0.00500001 0 0
16.0529  -0.00500001 0.00500001 0 0
16.1529  -0.00500001 0.00500001 0 0
16.2529  -0.00500001 0.00500001 0 0
16.3529  -0.00500001 0.00500001 0 0
16.4528  -0.00500001 0.00500001 0 0
16.5528  -0.00500001 0.00500001 0 0
16.6528  -0.00500001 0.00500001 0 0
16.7528  -0.00500001 0.00500001 0 0
16.8528  -0.00500001 0.00500001 0 0
16.9528  -0.00500001 0.00500001 0 0
17.0528  -0.00500001 0.00500001 0 0
17.1528  -0.00500001 0.00500001 0 0
17.2528  -0.00500001 0.00500001 0 0
17.3527  -0.00500001 0.00500001 0 0
17.4527  -0.00500001 0.00500001 0 0
17.5527  -0.00500001 0.00500001 0 0
17.6527  -0.00500001 0.00500001 0 0
17.7527  -0.00500001 0.00500001 0 0
17.8527  -0.00500001 0.00500001 0 0
17.9527  -0.00500001 0.00500001 0 0
18.0527  -0.00500001 0.00500001 0 0
18.1527  -0.00500001 0.00500001 0 0
18.2526  -0.00500001 0.00500001 0 0
18.3526  -0.00500001 0.00500001 0 0
18.4526  -0.00500001 0.00500001 0 0
18.5526  -0.00500001 0.00500001 0 0
18.6526  -0.00500001 0.00500001 0 0
18.7526  -0.00500001 0.00500001 0 0
18.8526  -0.00500001 0.00500001 0 0
18.9526  -0.00500001 0.00500001 0 0
19.0526  -0.00500001 0.00500001 0 0
19.1525  -0.00500001 0.00500001 0 0
19.2525  -0.00500001 0.00500001 0 0
19.3525  -0.00500001 0.00500001 0 0
19.4525  -0.00500001 0.00500001 0 0
19.5525  -0.00500001 0.00500001 0 0
19.6525  -0.00500001 0.00500001 0 0
19.7525  -0.00500001 0.00500001 0 0
19.8525  -0.00500001 0.00500001 0 0
19.9525  -0.00500001 0.00500001 0 0
20.0525  -0.00500001 0.00500001 0 0
20.1524  -0.00500001 0.00500001 0 0
20.2524  -0.00500001 0.00500001 0 0
20.3524  -0.00500001 0.00500001 0 0
20.4524  -0.00500001 0.00500001 0 0
20.5524  -0.00500001 0.00500001 0 0
20.6524  -0.00500001 0.00500001 0 0
20.7524  -0.00500001 0.00500001 0 0
20.8524  -0.00500001 0.00500001 0 0
20.9524  -0.00500001 0.00500001 0 0
21.0523  -0.00500001 0.00500001 0 0
21.1523  -0.00500001 0.00500001 0 0
21.2523  -0.00500001 0.00500001 0 0
21.3523  -0.00500001 0.00500001 0 0
21.4523  -0.00500001 0.00500001 0 0
21.5523  -0.00500001 0.00500001 0 0
21.6523  -0.00500001 0.00500001 0 0
21.7523  -0.00500001 0.00500001 0 0
21.8523  -0.00500001 0.00500001 0 0
21.9522  -0.00500001 0.00500001 0 0
22.0522  -0.00500001 0.00500001 0 0
22.1522  -0.00500001 0.00500001 0 0
22.2522  -0.00500001 0.00500001 0 0
22.3522  -0.00500001 0.00500001 0 0
22.4522  -0.00500001 0.00500001 0 0
22.5522  -0.00500001 0.00500001 0 0
22.6522  -0.00500001 0.00500001 0 0
22.7522  -0.00500001 0.00500001 0 0
22.8521  -0.00500001 0.00500001 0 0
22.9521  -0.00500001 0.00500001 0 0
23.0521  -0.00500001 0.00500001 0 0
23.1521  -0.00500001 0.00500001 0 0
23.2521  -0.00500001 0.00500001 0 0
23.3521  -0.00500001 0.00500001 0 0
23.4521  -0.00500001 0.00500001 0 0
23.5521  -0.00500001 0.00500001 0 0
23.6521  -0.00500001 0.00500001 0 0
23.752  -0.00500001 0.00500001 0 0
23.852  -0.00500001 0.00500001 0 0
23.952  -0.00500001 0.00500001 0 0
24.052  -0.00500001 0.00500001 0 0
24.152  -0.00500001 0.00500001 0 0
24.252  -0.00500001 0.00500001 0 0
24.352  -0.00500001 0.00500001 0 0
24.452  -0.00500001 0.00500001 0 0
24.552  -0.00500001 0.00500001 0 0
24.6519  -0.00500001 0.00500001 0 0
24.7519  -0.00500001 0.00500001 0 0
24.8519  -0.00500001 0.00500001 0 0
24.9519  -0.00500001 0.00500001 0 0
25.0519  -0.00500001 0.00500001 0 0
25.1519  -0.00500001 0.00500001 0 0
25.2519  -0.00500001 0.00500001 0 0
25.3519  -0.00500001 0.00500001 0 0
25.4519  -0.00500001 0.00500001 0 0
25.5519  -0.00500001 0.00500001 0 0
25.6518  -0.00500001 0.00500001 0 0
25.7518  -0.00500001 0.00500001 0 0
25.8518  -0.00500001 0.00500001 0 0
25.9518  -0.00500001 0.00500001 0 0
26.0518  -0.00500001 0.00500001 0 0
26.1518  -0.00500001 0.00500001 0 0
26.2518  -0.00500001 0.00500001 0 0
26.3518  -0.00500001 0.00500001 0 0
26.4518  -0.00500001 0.00500001 0 0
26.5517  -0.00500001 0.00500001 0 0
26.6517  -0.00500001 0.00500001 0 0
26.7517  -0.00500001 0.00500001 0 0
26.8517  -0.00500001 0.00500001 0 0
26.9517  -0.00500001 0.00500001 0 0
27.0517  -0.00500001 0.00500001 0 0
27.1517  -0.00500001 0.00500001 0 0
27.2517  -0.00500001 0.00500001 0 0
27.3517  -0.00500001 0.00500001 0 0
27.4516  -0.00500001 0.00500001 0 0
27.5516  -0.00500001 0.00500001 0 0
27.6516  -0.00500001 0.00500001 0 0
27.7516  -0.00500001 0.00500001 0 0
27.8516  -0.00500001 0.00500001 0 0
27.9516  -0.00500001 0.00500001 0 0
28.0516  -0.00500001 0.00500001 0 0
28.1516  -0.00500001 0.00500001 0 0
28.2516  -0.00500001 0.00500001 0 0
28.3515  -0.00500001 0.00500001 0 0
28.4515  -0.00500001 0.00500001 0 0
28.5515  -0.00500001 0.00500001 0 0
28.6515  -0.00500001 0.00500001 0 0
28.7515  -0.00500001 0.00500001 0 0
28.8515  -0.00500001 0.00500001 0 0
28.9515  -0.00500001 0.00500001 0 0
29.0515  -0.00500001 0.00500001 0 0
29.1515  -0.00500001 0.00500001 0 0
29.2514  -0.00500001 0.00500001 0 0
29.3514  -0.00500001 0.00500001 0 0
29.4514  -0.00500001 0.00500001 0 0
29.5514  -0.00500001 0.00500001 0 0
29.6514  -0.00500001 0.00500001 0 0
29.7514  -0.00500001 0.00500001 0 0
29.8514  -0.00500001 0.00500001 0 0
