#Time  flux(x0) flux(x1) flux(y0) flux(y1)
4545.56  -6.6e-05 6.5999e-05 0 0
4605.45  -6.6e-05 6.5999e-05 0 0
4665.35  -6.6e-05 6.5999e-05 0 0
4725.24  -6.6e-05 6.5999e-05 0 0
4785.13  -6.6e-05 6.5999e-05 0 0
4845.02  -6.6e-05 6.5999e-05 0 0
4904.92  -6.6e-05 6.5999e-05 0 0
4964.81  -6.6e-05 6.5999e-05 0 0
5024.7  -6.6e-05 6.5999e-05 0 0
5084.6  -6.6e-05 6.5999e-05 0 0
5144.49  -6.6e-05 6.5999e-05 0 0
5204.38  -6.6e-05 6.5999e-05 0 0
5264.27  -6.6e-05 6.5999e-05 0 0
5324.17  -6.6e-05 6.5999e-05 0 0
5384.06  -6.6e-05 6.5999e-05 0 0
5443.95  -6.6e-05 6.5999e-05 0 0
5503.84  -6.6e-05 6.5999e-05 0 0
5563.74  -6.6e-05 6.5999e-05 0 0
5623.63  -6.6e-05 6.5999e-05 0 0
5683.52  -6.6e-05 6.5999e-05 0 0
5743.42  -6.6e-05 6.5999e-05 0 0
5803.31  -6.6e-05 6.5999e-05 0 0
5863.2  -6.6e-05 6.5999e-05 0 0
5923.09  -6.6e-05 6.5999e-05 0 0
5982.99  -6.6e-05 6.5999e-05 0 0
6042.88  -6.6e-05 6.5999e-05 0 0
6102.77  -6.6e-05 6.5999e-05 0 0
6162.67  -6.6e-05 6.5999e-05 0 0
6222.56  -6.6e-05 6.5999e-05 0 0
6282.45  -6.6e-05 6.5999e-05 0 0
6342.34  -6.6e-05 6.5999e-05 0 0
6402.24  -6.6e-05 6.5999e-05 0 0
6462.13  -6.6e-05 6.5999e-05 0 0
6522.02  -6.6e-05 6.5999e-05 0 0
6581.92  -6.6e-05 6.5999e-05 0 0
6641.81  -6.6e-05 6.5999e-05 0 0
6701.7  -6.6e-05 6.5999e-05 0 0
6761.59  -6.6e-05 6.5999e-05 0 0
6821.49  -6.6e-05 6.5999e-05 0 0
6881.38  -6.6e-05 6.5999e-05 0 0
6941.27  -6.6e-05 6.5999e-05 0 0
7001.16  -6.6e-05 6.5999e-05 0 0
7061.06  -6.6e-05 6.5999e-05 0 0
7120.95  -6.6e-05 6.5999e-05 0 0
7180.84  -6.6e-05 6.5999e-05 0 0
7240.74  -6.6e-05 6.5999e-05 0 0
7300.63  -6.6e-05 6.5999e-05 0 0
7360.52  -6.6e-05 6.5999e-05 0 0
7420.41  -6.6e-05 6.5999e-05 0 0
